Cod_Pais;Nome_Pais;Idioma_Pais
PRK;Coréia, República Democrática da (Coréia do Norte);Coreano
PRT;Portugal;Português
PRY;Paraguai;Espanhol
PSE;Palestina;NULL
PYF;Polinésia Francesa;Francês
QAT;Qatar;Árabe
REU;Reunião, Ilhas;Francês e Crioulo
ROU;Romênia;Romeno
RUS;Rússia;Russo
RWA;Ruanda;Francês
SAU;Arábia Saudita;Árabe
SDN;Sudão;Árabe
SEN;Senegal;Francês
SGP;Cingapura;Inglês
SGS;Geórgia do Sul e Sandwich do Sul, Ilhas;Inglês
SHN;Santa Helena;Inglês
SJM;Svalbard e Jan Mayen;NULL
SLB;Salomão, Ilhas;Inglês
SLE;Serra Leoa;Inglês
SLV;El Salvador;Espanhol
SMR;San Marino;Italiano
SOM;Somália;Somali
SPM;São Pedro e Miquelão;Francês
SRB;Sérvia;Sérvio
STP;São Tomé e Príncipe;Português
SUR;Suriname;Holandês
SVK;Eslováquia;Eslovaco
SVN;Eslovênia;Esloveno
SWE;Suécia;Sueco
SWZ;Suazilândia;Inglês
SYC;Seichelles;Inglês
SYR;Síria;Árabe
TCA;Turcos e Caicos, Ilhas;Inglês
TCD;Chade;Francês
TGO;Togo;Francês
THA;Tailândia;Tai
TJK;Tadjiquistão;Tadjique
TKL;Toquelau;Toquelauano e Inglês
TKM;Turcomenistão;Turcomano
TLS;Timor-Leste;Português
TON;Tonga;Inglês
TTO;Trinidad e Tobago;Inglês
TUN;Tunísia;Árabe
TUR;Turquia;Turco
TUV;Tuvalu;Inglês
TWN;Taiwan;Mandarim
TZA;Tanzânia;Inglês
UGA;Uganda;Inglês
UKR;Ucrânia;Ucraniano
UMI;Menores Distantes dos Estados Unidos, Ilhas;NULL
URY;Uruguai;Espanhol
USA;Estados Unidos da América;Inglês
UZB;Uzbequistão;Uzbequi
VAT;Vaticano;Italiano e Latim
VCT;São Vicente e Granadinas;Inglês
VEN;Venezuela;Espanhol
VGB;Virgens Britânicas, Ilhas;Inglês
VIR;Virgens Americanas, Ilhas;Inglês
VNM;Vietnã;Vietnamita
VUT;Vanuatu;Francês e Inglês
WLF;Wallis e Futuna, Ilhas;Francês e Wallisiano
WSM;Samoa (Samoa Ocidental);Inglês e Samoano
YEM;Iêmen;Árabe
ZAF;África do Sul;Inglês
ZMB;Zâmbia;Inglês
ZWE;Zimbabwe;Inglês
